NUMERO ESERCIZIO;DATA INIZIO;CODICE_VIA;DESCRIZIONE VIA;CIVICO;ESP CIVICO;SUPERFICIE TOTALE;CODICE MACRO ATTIVITA;DESCRIZIONE ATTIVITA;TIPO ATTIVITA;DESCRIZIONE ATTIVITA;CODICE SPECIALIZZAZIONE;DESCRIZIONE SPECIALIZZAZIONE;SETTORE ALIMENTARE;SETTORE NON ALIMENTARE
6635;20130516;71042;VIA MATTIA BATTISTINI;212;C;48.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE;NON ALIMENTARE
6637;20130627;106557;VIA DI TORREVECCHIA;21; ;43.97;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6638;20130627;107767;VIA TRIONFALE;9292; ;54.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
6639;20130618;0;;0;;0.0;1;COMMERCIO IN SEDE FISSA;6;COMMERCIO PRODOTTI PER MEZZO DI APPARECCHI AUTOM.;0;;;
6640;20130701;21872;VIA CARLO PIANCASTELLI;7; ;78.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6642;20000127;107767;VIA TRIONFALE;7218; ;50.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
6645;20110224;8107;VIA ANTONIO PANIZZI;65; ;0.0;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
6646;20130805;4279;VIA ALFREDO SERRANTI;23; ;59.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
6647;20130702;158804;VIA CUSINO;6; ;70.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
6648;20130808;94931;VIA ROMEO RODRIGUEZ PEREIRA;103; ;0.0;8;ALTRE ATTIVITA';7;DEPOSITI/ESPOSIZIONI;0;; ; 
6649;20130809;105644;VIA TOMMASO ZIGLIARA;24;D;40.84;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
6650;20130808;12834;VIA DELLA BALDUINA;61;E;12.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
6651;20130808;12834;VIA DELLA BALDUINA;61;E;37.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE;NON ALIMENTARE
6652;20130712;80585;VIA OTTAVIO ASSAROTTI;6; ;24.0;5;ACCONCIATORI ED ESTETISTI;40;ACCONCIATORI ED ESTETISTI;0;; ; 
6653;20130729;0;;0;;0.0;1;COMMERCIO IN SEDE FISSA;6;COMMERCIO PRODOTTI PER MEZZO DI APPARECCHI AUTOM.;0;;;
6654;20130821;0;;0;;0.0;1;COMMERCIO IN SEDE FISSA;6;COMMERCIO PRODOTTI PER MEZZO DI APPARECCHI AUTOM.;0;;;
6655;20130719;108559;VIA UGO DE CAROLIS;72; ;83.21;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6656;20130712;158796;VIA GAVERINA;89; ;85.5;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
6657;20130717;43043;VIA DEL FORTE BRASCHI;104; ;0.0;1;COMMERCIO IN SEDE FISSA;3;COMMERCIO ELETTRONICO;12;ALTRO (VENDITA IN GRANDE VARIETA DI PRODOTTI NON ALIMENTARI; ; 
6658;20130322;0;;0;;0.0;1;COMMERCIO IN SEDE FISSA;6;COMMERCIO PRODOTTI PER MEZZO DI APPARECCHI AUTOM.;0;;;
6659;20130228;74609;VIA MONTE DEL MARMO;101; ;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3566;20080805;5478;VIA ANDREA BALDI;9; ;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3567;20080731;8350;VIA ANTONIO STELLA;5; ;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3568;20080731;8350;VIA ANTONIO STELLA;5; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3574;20080724;34816;VIA DUCCIO GALIMBERTI;1; ;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
3575;20080724;34816;VIA DUCCIO GALIMBERTI;1; ;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3577;20080715;122452;VIA VINADIO;63; ;38.0;3;PUBBLICI ESERCIZI;22;SOMM. ATTIVITA' DI SVAGO(LR 21/2006 ART.6 c.1 l.a);0;;ALIMENTARE;NON ALIMENTARE
3578;19791121;23320;VIA DEL CASALE SANSONI;50;A;0.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
3579;20080527;90678;VIA PRISCIANO;47; ;17.13;7;Ex art. 19 del D.P.R. 616/77 (T.U.L.P.S.);16;NOLEGGIO SENZA CONDUCENTE;0;; ; 
3580;19980724;150930;VIA IPOGEO DEGLI OTTAVI;93; ;0.0;3;PUBBLICI ESERCIZI;20;PUBBLICI ESERCIZI;0;; ; 
3581;19980723;150930;VIA IPOGEO DEGLI OTTAVI;93; ;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
3582;20070320;14883;VIA BERNARDO BARBIELLINI AMIDEI;23; ;80.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;; ;NON ALIMENTARE
3583;19951012;101167;VIA SONCINO;40;B;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3584;20020521;101167;VIA SONCINO;40;B;0.0;6;ARTIGIANATO;85;LABORATORI ARTIGIANI;0;; ; 
3585;20080724;101167;VIA SONCINO;40;B;0.0;1;COMMERCIO IN SEDE FISSA;2;ESERCIZIO DI VICINATO;0;;ALIMENTARE; 
