INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;TOTALE_CAMERE;POSTI_LETTO;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
ANDROMEDA;Categoria 2;VIA COLLINA, 48;Mun. I;Guest House o Affittacamere;0;4;0;0;0;0;4;8;0;0
A.D.;Categoria 2;VIALE OPITA OPPIO, 76;Mun. VII;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
RESIDENZA CELLINI;Categoria 1;VIA MODENA, 5;Mun. I;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
DI MONTE GIORGIO;Categoria 3;VIA RATTAZZI, 65;Mun. I;Guest House o Affittacamere;1;2;0;0;0;0;3;5;0;0
THE PEARL;Categoria 3;VIA DEI CONDOTTI, 85;Mun. I;Guest House o Affittacamere;0;2;2;0;0;0;4;10;0;0
DI RIENZO ROBERTO;Categoria 1;VIA DEI CONDOTTI, 85;Mun. I;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
CASA A ROMA;Categoria 2;VIA ALFONSO BORELLI, 17;Mun. II;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
CONDOTTI 29;Categoria 1;VIA DEI CONDOTTI, 29;Mun. I;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
MONTI GUEST HOUSE;Categoria 2;VIA DEI CIANCALEONI, 1;Mun. I;Guest House o Affittacamere;2;3;0;0;0;0;5;8;0;0
CIMARRA;Categoria 2;VIA CIMARRA, 61;Mun. I;Guest House o Affittacamere;0;1;0;0;0;0;1;2;0;0
PIGNETO;Categoria 2;PIAZZA DEL PIGNETO, 15;Mun. V;Guest House o Affittacamere;2;2;2;0;0;0;6;12;0;0
LUNA ROSSA;Categoria 3;VIA ANGELO BELLANI, 3;Mun. XII;Guest House o Affittacamere;2;2;0;0;0;0;4;6;0;0
INTERNO 2;Categoria 3;VIA LORENZO IL MAGNIFICO, 158;Mun. II;Guest House o Affittacamere;2;2;0;0;0;0;4;6;0;0
SUITES TRASTEVERE;Categoria 2;VIALE DI TRASTEVERE, 248;Mun. I;Guest House o Affittacamere;1;4;0;0;0;0;5;9;0;0
DESEO HOME;Categoria 2;VIA PALESTRO, 3;Mun. I;Guest House o Affittacamere;1;3;1;0;0;0;5;10;0;0
SECONDO MAXIMUS;Categoria 2;VIA CAPO D'AFRICA, 23;Mun. I;Guest House o Affittacamere;0;2;0;0;0;0;2;4;0;0
GIORGIO;Categoria 3;VIA DI BRAVETTA, 91;Mun. XII;Guest House o Affittacamere;4;1;0;0;0;0;5;6;0;0
SARA;Categoria 3;VIA DI BRAVETTA, 91;Mun. XII;Guest House o Affittacamere;4;1;0;0;0;0;5;6;0;0
SOTTO IL SOLE DI ROMA;Categoria 2;VIA PIETRO DELLA VALLE, 2;Mun. I;Guest House o Affittacamere;1;5;0;0;0;0;6;11;0;0
RESIDENZA PANTHEON ROMA;Categoria 3;VIA DEI BARBIERI, 18;Mun. I;Guest House o Affittacamere;0;2;1;0;0;0;3;7;0;0
RELAIS ROME SWEET HOME TRASTEVERE;Categoria 1;VIALE DI TRASTEVERE, 70;Mun. I;Guest House o Affittacamere;1;2;0;0;0;0;3;5;0;0
CLARIAN;Categoria 2;VIA CARLO CATTANEO, 24;Mun. I;Guest House o Affittacamere;1;3;0;0;0;0;4;7;0;0
HSM HOUSE;Categoria 2;VIA VICENZA, 56;Mun. I;Guest House o Affittacamere;0;4;0;0;0;0;4;8;0;0
CALIGOLA;Categoria 1;VIA BENEDETTO MUSOLINO, 23;Mun. XII;Guest House o Affittacamere;1;4;0;0;0;0;5;9;0;0
PANGEA;Categoria 2;VIA NOSTRA SIGNORA DI LOURDES, 35;Mun. XIII;Guest House o Affittacamere;0;4;0;0;0;0;4;8;0;0
DOMUS RITA;Categoria 2;VIA DI SCORTICABOVE, 9;Mun. IV;Guest House o Affittacamere;3;2;0;0;0;0;5;7;0;0
RELAIS VIA TOLMINO;Categoria 3;VIA TOLMINO, 6;Mun. II;Guest House o Affittacamere;2;3;0;1;0;0;6;12;0;0
FIVE OSCARS INN;Categoria 3;VIA MILANO, 49;Mun. I;Guest House o Affittacamere;0;1;1;0;0;0;2;5;0;0
PAPIA;Categoria 2;VIA BIXIO, 71;Mun. I;Guest House o Affittacamere;1;2;0;0;0;0;3;5;0;0
VILLA BORGHESE GUEST HOUSE;Categoria 3;VIA TEVERE, 15;Mun. II;Guest House o Affittacamere;0;4;1;0;0;0;5;11;0;0
GIUBILEO ACCOMODATION;Categoria 3;VIA DI CASTEL GIUBILEO, 5;Mun. III;Guest House o Affittacamere;2;2;2;0;0;0;6;12;0;0
SAN PIETRO BOUTIQUE ROOMS;Categoria 3;VIA PROPERZIO, 32;Mun. I;Guest House o Affittacamere;1;5;0;0;0;0;6;11;0;0
BANCHI VECCHI STAY;Categoria 3;VIA DEI BANCHI VECCHI, 117;Mun. I;Guest House o Affittacamere;0;1;0;1;0;0;2;6;0;0
ROMAN RESIDENCE INN;Categoria 3;VIA CAVOUR, 47;Mun. I;Guest House o Affittacamere;1;3;0;0;0;0;4;7;0;0
SALANDRA ROME SUITE;Categoria 2;VIA ANTONIO SALANDRA, 6;Mun. I;Guest House o Affittacamere;0;4;2;0;0;0;6;14;0;0
AZ SUITES;Categoria 2;VIA DEL CORSO, 4;Mun. I;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
L'INCANTO GUEST HOUSE;Categoria 3;VIA DEL CASALE DI S. BASILIO, 230;Mun. IV;Guest House o Affittacamere;2;1;0;3;0;0;6;16;0;0
L'ARTISTICO;Categoria 3;PIAZZA DEL RISORGIMENTO, 14;Mun. I;Guest House o Affittacamere;1;4;0;0;0;0;5;9;0;0
PENTHOUSE SUITE ROMA;Categoria 3;PIAZZA BARBERINI, 45;Mun. I;Guest House o Affittacamere;0;0;2;0;1;0;3;11;0;0
RESIDENZA FLAMINIA;Categoria 2;VIA FLAMINIA, 657;Mun. XV;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
TIC TAC LOFT GUEST HOUSE;Categoria 3;VIA DELLA COLONNA ANTONINA, 52;Mun. I;Guest House o Affittacamere;0;1;0;0;0;0;1;2;0;0
GRAN TOUR - ROMA;Categoria 3;VIA SEBASTIANO ZIANI, 29;Mun. I;Guest House o Affittacamere;0;2;0;0;0;0;2;4;0;0
CORONARI COURTYARD;Categoria 3;VIA DEI CORONARI, 86;Mun. I;Guest House o Affittacamere;0;3;1;1;0;0;5;13;0;0
ROMANCE;Categoria 3;VIA LUIGI SANTINI, 7;Mun. I;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
ROMATIC;Categoria 3;VIALE ANGELICO, 36;Mun. I;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
RELAIS COLONNA;Categoria 3;VIA VITTORIA COLONNA, 27;Mun. I;Guest House o Affittacamere;0;3;1;0;0;0;4;9;0;0
VIGLIENA10;Categoria 3;VIA VIGLIENA, 10;Mun. I;Guest House o Affittacamere;1;4;0;1;0;0;6;13;0;0
ANTICA LOCANDA DELL'ORSO;Categoria 3;VIA DELL'ORSO, 14;Mun. I;Guest House o Affittacamere;4;2;0;0;0;0;6;8;0;0
RESIDENZA HORTI SALLUSTIANI;Categoria 2;VIA RAFFAELE CADORNA, 22;Mun. I;Guest House o Affittacamere;0;5;0;0;0;0;5;10;0;0
CHROMA OCTHO;Categoria 2;VIA CAVOUR, 278;Mun. I;Guest House o Affittacamere;0;2;1;0;0;0;3;7;0;0
SUITE DEAL;Categoria 2;VIA VOLTURNO, 7;Mun. I;Guest House o Affittacamere;0;4;1;0;0;0;5;11;0;0
BENVENUTI A TRASTEVERE;Categoria 3;VIALE DI TRASTEVERE, 66;Mun. I;Guest House o Affittacamere;2;4;0;0;0;0;6;10;0;0
MINERVA RELAIS 2;Categoria 2;VIA DI PIE' DI MARMO, 16;Mun. I;Guest House o Affittacamere;0;3;1;0;0;0;4;9;0;0
VILLA CHAUVET;Categoria 3;VIA CLARA FRANCIA CHAUVET, 37;Mun. XIII;Guest House o Affittacamere;;4;0;0;0;0;4;8;0;0
LE POESIE DI ROMA;Categoria 3;VIA DELL'ESQUILINO, 38;Mun. I;Guest House o Affittacamere;1;4;;0;0;0;5;9;0;0
MELODY SUITE ROMA;Categoria 2;VIA PIAVE, 52;Mun. I;Guest House o Affittacamere;3;1;0;0;0;0;4;5;0;0
VATICAN FLOWERS FAMAGOSTA;Categoria 2;VIA FAMAGOSTA, 45;Mun. I;Guest House o Affittacamere;2;1;0;0;0;0;3;4;0;0
GENS LUXURY SUITES;Categoria 3;VIA GIUSEPPE ZANARDELLI, 20;Mun. I;Guest House o Affittacamere;0;5;0;0;0;0;5;10;0;0
DG PRESTIGE ROOM;Categoria 3;VIA LOMBARDIA, 30;Mun. I;Guest House o Affittacamere;1;5;0;0;0;0;6;11;0;0
RESIDENZA DG ROOM;Categoria 3;VIA LOMBARDIA, 30;Mun. I;Guest House o Affittacamere;1;1;1;0;0;0;3;6;0;0
ARTHUR HOSTEL;Categoria 3;VIA GIOVANNI GIOLITTI, 213;Mun. I;Guest House o Affittacamere;0;2;1;0;0;0;3;7;0;0
HOLIDAY AND ROME;Categoria 3;PIAZZA TOMMASO DE CRISTOFORIS, 6;Mun. IV;Guest House o Affittacamere;0;4;1;0;0;0;5;11;0;0
CAROLINE ROOMS ROME;Categoria 2;VIA GERMANICO, 197;Mun. I;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
TRITONE SUITES;Categoria 3;VIA FRANCESCO CRISPI, 10;Mun. I;Guest House o Affittacamere;1;1;2;0;0;0;4;9;0;0
BEDROOMS IN ROME DI FRANCESCO CHIOFALO;Categoria 3;VIA GIOVANNI STEFANO ROCCATAGLIATA, 4;Mun. XII;Guest House o Affittacamere;1;3;0;0;0;0;4;7;0;0
CHROMA EPTHA;Categoria 2;VIALE ANGELICO, 12;Mun. I;Guest House o Affittacamere;0;5;1;0;0;0;6;13;0;0
GENOVA GUEST HOUSE;Categoria 3;VIA GENOVA, 30;Mun. I;Guest House o Affittacamere;3;1;0;0;0;0;4;5;0;0
STAR ACCOMODATION;Categoria 3;VIA CAVOUR, 150;Mun. I;Guest House o Affittacamere;0;5;1;0;0;0;6;13;0;0
WINDOW ON ROME;Categoria 2;PIAZZA SIDNEY SONNINO, 25;Mun. I;Guest House o Affittacamere;0;2;3;0;0;0;5;13;0;0
NAVONA CHIC;Categoria 3;VIA DEI SEDIARI, 8;Mun. I;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
TWICE GUEST HOUSE;Categoria 3;VIA DEGLI SCIPIONI, 89;Mun. I;Guest House o Affittacamere;0;2;1;0;0;0;3;7;0;0
APR GUESTHOUSE;Categoria 2;VIA DI S. COSTANZA, 2;Mun. II;Guest House o Affittacamere;0;4;1;0;0;0;5;11;0;0
POLINARI ROOMS SAN PIETRO ROMA;Categoria 2;VIA OTTAVIANO, 66;Mun. I;Guest House o Affittacamere;;2;0;1;0;0;3;8;0;0
ROME ORANGE INN;Categoria 3;VIA BUONARROTI, 39;Mun. I;Guest House o Affittacamere;2;2;0;0;0;0;4;6;0;0
MAISON FLAMINIO;Categoria 3;VIALE PINTURICCHIO, 89;Mun. II;Guest House o Affittacamere;1;4;0;0;0;0;5;9;0;0
ANGELINA DIMORA CONTEMPORANEA;Categoria 3;VIA CICERONE, 28;Mun. I;Guest House o Affittacamere;0;5;0;0;0;0;5;10;0;0
MAMI';Categoria 3;VIA UGO OJETTI, 384;Mun. III;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
CASTELLANI A SAN PIETRO;Categoria 3;VIA VESPASIANO, 17;Mun. I;Guest House o Affittacamere;0;2;1;0;0;0;3;7;0;0
DOMUS LUNAE;Categoria 3;VIA GERMANICO, 172;Mun. I;Guest House o Affittacamere;1;2;0;0;0;0;3;5;0;0
IL SESTO SUITES CENTRAL;Categoria 3;VIA DANIELE MANIN, 69;Mun. I;Guest House o Affittacamere;0;3;2;0;0;0;5;12;0;0
CORSO GRAN SUITE;Categoria 1;VIA DEL CORSO, 117;Mun. I;Guest House o Affittacamere;1;3;1;1;0;0;6;14;0;0
IMPERIA GUESTHOUSE;Categoria 2;VIA IMPERIA, 11;Mun. II;Guest House o Affittacamere;;4;2;;;;6;14;0;0
MARCO AURELIO SUITES;Categoria 2;VIA MARCO AURELIO, 32;Mun. I;Guest House o Affittacamere;0;0;4;0;0;0;4;12;0;0
HSM APARTMENT;Categoria 2;VIA VICENZA, 56;Mun. I;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
FILIPPO ROOMS;Categoria 2;VIA FILIPPO TURATI, 163;Mun. I;Guest House o Affittacamere;0;4;0;0;0;0;4;8;0;0
PIAVE 41;Categoria 2;VIA PIAVE, 41;Mun. I;Guest House o Affittacamere;0;3;1;0;0;0;4;9;0;0
MAISON GIULIA;Categoria 1;VIA GIULIA, 189;Mun. I;Guest House o Affittacamere;3;1;2;0;0;0;6;11;0;0
WHEN IN ROME ACCOMMODATION;Categoria 3;VIA VARESE, 34;Mun. I;Guest House o Affittacamere;0;2;2;2;0;0;6;18;0;0
CATERINA GOODNIGHT;Categoria 3;VIA ALFONSO BORELLI, 17;Mun. II;Guest House o Affittacamere;1;2;2;0;0;0;5;11;0;0
CARENZA GIACOMO;Categoria 2;VIA BRACCIANENSE, 1050;Mun. XV;Guest House o Affittacamere;2;3;1;0;0;0;6;11;0;0
CARENZA FILIPPO;Categoria 2;VIA BRACCIANENSE, 1050;Mun. XV;Guest House o Affittacamere;2;4;0;0;0;0;6;10;0;0
CROSTI ROOMS;Categoria 2;VIA CASTELFIDARDO, 56;Mun. I;Guest House o Affittacamere;2;2;0;0;0;0;4;6;0;0
A CASA DI GETTA;Categoria 2;VIA REGGIO EMILIA, 29;Mun. II;Guest House o Affittacamere;1;2;1;0;0;0;4;8;0;0
BEST SUITES TREVI;Categoria 2;VICOLO DEI MODELLI, 57;Mun. I;Guest House o Affittacamere;0;2;0;0;0;0;2;4;0;0
SOLOMON;Categoria 2;VIA PALESTRO, 9;Mun. I;Guest House o Affittacamere;4;0;0;0;0;0;4;4;0;0
VOLUSIA HOUSE;Categoria 3;VIA CASSIA, 1054;Mun. XV;Guest House o Affittacamere;1;5;0;0;0;0;6;11;0;0
DAY BY DAY;Categoria 3;VIA CRESCENZIO, 74;Mun. I;Guest House o Affittacamere;1;3;0;0;0;0;4;7;0;0
INTERNO 2;Categoria 3;VIA VENTI SETTEMBRE, 58;Mun. I;Guest House o Affittacamere;1;4;1;0;0;0;6;12;0;0
A CASA DI GIORGIA;Categoria 2;CORSO TRIESTE, 62;Mun. II;Guest House o Affittacamere;1;4;1;0;0;0;6;12;0;0
CESARE BALBO INN;Categoria 3;VIA CESARE BALBO, 43;Mun. I;Guest House o Affittacamere;0;4;0;0;0;0;4;8;0;0
TURATI GUEST HOUSE;Categoria 3;VIA FILIPPO TURATI, 48;Mun. I;Guest House o Affittacamere;1;4;0;0;0;0;5;9;0;0
CASTELLO MAGGIORE;Categoria 3;PIAZZA DI PORTA MAGGIORE, 6;Mun. I;Guest House o Affittacamere;2;1;1;0;0;0;4;7;0;0
AI MUSEI VATICANI BED BEST;Categoria 2;VIA CIPRO, 56;Mun. I;Guest House o Affittacamere;1;4;0;0;0;0;5;9;0;0
FONTANA ROMANA;Categoria 2;VIA GAETA, 23;Mun. I;Guest House o Affittacamere;0;1;2;0;0;0;3;8;0;0
RELAIS PIAZZA DEL POPOLO;Categoria 1;PIAZZALE FLAMINIO, 9;Mun. II;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
IMPERIUM SUITE;Categoria 2;VICOLO DELLA PALOMBA, 19;Mun. I;Guest House o Affittacamere;1;5;0;0;0;0;6;11;0;0
PANTHEON INN;Categoria 2;VIA DI S. CATERINA DA SIENA, 57;Mun. I;Guest House o Affittacamere;;3;2;1;0;0;6;16;0;0
DREAM SUITE;Categoria 1;VIA MODENA, 5;Mun. I;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
MARIA TERESA;Categoria 2;VIA CALATAFIMI, 41;Mun. I;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
ANTONIETTA;Categoria 2;VIA CASTELFIDARDO, 68;Mun. I;Guest House o Affittacamere;1;1;0;0;0;0;2;3;0;0
SARA;Categoria 2;PIAZZA DI PORTA MAGGIORE, 6;Mun. I;Guest House o Affittacamere;3;0;0;0;0;0;3;3;0;0
ZERO6;Categoria 2;VIALE DELLE MILIZIE, 15;Mun. I;Guest House o Affittacamere;1;3;1;0;0;0;5;10;0;0
TOWN HOUSE P.E.;Categoria 2;VIA PRINCIPE EUGENIO, 90;Mun. I;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
DOMUS CASTRENSE;Categoria 2;VIALE DELL'UNIVERSITA', 25;Mun. II;Guest House o Affittacamere;1;4;1;0;0;0;6;12;0;0
ANGELA DI ROMA;Categoria 3;PIAZZA VITTORIO EMANUELE II, 55;Mun. I;Guest House o Affittacamere;2;3;1;0;0;0;6;11;0;0
LUXURY LUDOVISI ROOMS;Categoria 2;VIA CALABRIA, 32;Mun. I;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
BABUINO 127 ROOMS;Categoria 3;VIA DEL BABUINO, 127;Mun. I;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
BEAUTY ROOMS;Categoria 3;VIA NAPOLEONE III, 35;Mun. I;Guest House o Affittacamere;2;4;0;0;0;0;6;10;0;0
PRIDE ROOMS;Categoria 3;VIA PRINCIPE AMEDEO, 148;Mun. I;Guest House o Affittacamere;0;1;2;1;0;0;4;12;0;0
ALL SEASONS;Categoria 2;VIALE MANZONI, 81;Mun. I;Guest House o Affittacamere;0;4;0;0;0;0;4;8;0;0
CAPPUCCINO;Categoria 3;VIA LIVORNO, 1;Mun. II;Guest House o Affittacamere;1;2;1;0;0;0;4;8;0;0
TRE R;Categoria 2;VIALE CARLO TOMMASO ODESCALCHI, 8;Mun. VIII;Guest House o Affittacamere;0;4;1;0;0;0;5;11;0;0
AL VIMINALE RELAIS;Categoria 3;VIA DEL VIMINALE, 38;Mun. I;Guest House o Affittacamere;0;4;0;0;0;0;4;8;0;0
SERGIO HOUSE;Categoria 2;VIA PRINCIPE AMEDEO, 92;Mun. I;Guest House o Affittacamere;0;5;1;0;0;0;6;13;0;0
LA ROTELLA NEL SACCO;Categoria 2;VIA GIOVANNI GIOLITTI, 459;Mun. I;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
JR SUITES;Categoria 2;VIA LEONINA, 16;Mun. I;Guest House o Affittacamere;0;4;1;0;0;0;5;11;0;0
RESIDENZA XX SETTEMBRE;Categoria 3;VIA DEL MACAO, 3;Mun. I;Guest House o Affittacamere;1;2;0;0;0;0;3;5;0;0
COLOSSEO RELAIS;Categoria 2;VIA DELLA MADONNA DEI MONTI, 104;Mun. I;Guest House o Affittacamere;1;3;0;0;0;0;4;7;0;0
ERMELINDA;Categoria 3;VIA CERNAIA, 49;Mun. I;Guest House o Affittacamere;0;1;3;0;0;0;4;11;0;0
SUITE SISTINA;Categoria 2;VIA SISTINA, 53;Mun. I;Guest House o Affittacamere;0;1;4;0;0;0;5;14;0;0
GARIBALDI SUITES;Categoria 3;VIA DELLE CARROZZE, 60;Mun. I;Guest House o Affittacamere;0;4;0;0;0;0;4;8;0;0
FEDERICI GUEST HOUSE;Categoria 2;VIALE GIULIO CESARE, 151;Mun. I;Guest House o Affittacamere;0;5;0;0;0;0;5;10;0;0
DOMUS AUGUSTA;Categoria 2;VIA MILAZZO, 42;Mun. I;Guest House o Affittacamere;2;3;0;0;0;0;5;8;0;0
SAN LORENZO GUEST HOUSE;Categoria 3;VIA DEGLI APULI, 46;Mun. II;Guest House o Affittacamere;1;4;1;0;0;0;6;12;0;0
RELAIS ROSSINI;Categoria 2;VIA DELLA PURIFICAZIONE, 18;Mun. I;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
DOMUS ADRIANI;Categoria 1;VIA DI PALLACORDA, 9;Mun. I;Guest House o Affittacamere;0;5;0;0;0;0;5;10;0;0
MANCINO SUITES;Categoria 3;VIA DEL MANCINO, 8;Mun. I;Guest House o Affittacamere;1;1;3;0;0;0;5;12;0;0
A CASA CARRA;Categoria 2;VIA DELLO STATUTO, 44;Mun. I;Guest House o Affittacamere;2;1;0;0;0;0;3;4;0;0
LA CASA DELL'ARTE;Categoria 2;VIA FILIPPO TURATI, 13;Mun. I;Guest House o Affittacamere;3;3;0;0;0;0;6;9;0;0
RESIDENZA RISORGIMENTO;Categoria 2;PIAZZA DEL RISORGIMENTO, 59;Mun. I;Guest House o Affittacamere;3;2;1;0;0;0;6;10;0;0
A CASA DI SERENA;Categoria 2;CIRCONVALLAZIONE TRIONFALE, 1;Mun. I;Guest House o Affittacamere;2;2;1;0;0;0;5;9;0;0
CARLO ALBERTO HOUSE;Categoria 3;VIA CARLO ALBERTO, 63;Mun. I;Guest House o Affittacamere;1;1;3;0;0;0;5;12;0;0
ROMEO AL BABUINO;Categoria 3;VIA DEL BABUINO, 46;Mun. I;Guest House o Affittacamere;0;0;2;0;0;0;2;6;0;0
LA PICCOLA MAISON;Categoria 3;VIA DEI CAPPUCCINI, 30;Mun. I;Guest House o Affittacamere;2;3;0;0;0;0;5;8;0;0
DOMENICO;Categoria 2;VIA CASTELFIDARDO, 48;Mun. I;Guest House o Affittacamere;0;2;4;0;0;0;6;16;0;0
LIGHT INN;Categoria 2;PIAZZA DI S. MARIA MAGGIORE, 12;Mun. I;Guest House o Affittacamere;1;2;0;0;0;0;3;5;0;0
GLATIMIA;Categoria 2;VIA CAIO MARIO, 14;Mun. I;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
ALLE BASILICHE DI ROMA;Categoria 3;VIA DELLO STATUTO, 44;Mun. I;Guest House o Affittacamere;1;4;0;0;0;0;5;9;0;0
NUOVA ROSETTA;Categoria 2;VIA CAVOUR, 295;Mun. I;Guest House o Affittacamere;0;1;1;0;0;0;2;5;0;0
MAXIMUS;Categoria 2;VIA CAPO D'AFRICA, 30;Mun. I;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
SUITE MONTE;Categoria 2;VIA DELLE CONVERTITE, 5;Mun. I;Guest House o Affittacamere;2;3;1;0;0;0;6;11;0;0
SOLE E LUNA;Categoria 3;VIA MERULANA, 117;Mun. I;Guest House o Affittacamere;1;5;0;0;0;0;6;11;0;0
RELAIS AL SENATO;Categoria 1;CORSIA AGONALE, 10;Mun. I;Guest House o Affittacamere;0;5;0;0;0;0;5;10;0;0
ROMA - SAN LORENZO;Categoria 2;VIA TIBURTINA, 68;Mun. II;Guest House o Affittacamere;0;4;0;0;0;0;4;8;0;0
SONNINO SUITE;Categoria 2;PIAZZA SIDNEY SONNINO, 25;Mun. I;Guest House o Affittacamere;1;3;1;0;0;0;5;10;0;0
INN ROME ROOMS & SUITES;Categoria 2;CORSO VITTORIO EMANUELE II, 251;Mun. I;Guest House o Affittacamere;0;3;2;0;0;0;5;12;0;0
R. CITY ROOMS;Categoria 2;VIALE IPPOCRATE, 91;Mun. II;Guest House o Affittacamere;0;2;3;0;0;0;5;13;0;0
COTE' ROME COLOSSEO;Categoria 2;VIA CAVOUR, 58;Mun. I;Guest House o Affittacamere;1;3;1;0;0;0;5;10;0;0
SEVEN KINGS RELAIS;Categoria 3;VIA VENTI SETTEMBRE, 58;Mun. I;Guest House o Affittacamere;1;4;0;0;0;0;5;9;0;0
PAPAVISTA RELAIS;Categoria 1;VIA TUNISI, 3;Mun. I;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
BEAU-SITE;Categoria 1;VIA LUDOVISI, 45;Mun. I;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
LT ROOMS;Categoria 2;VIA UMBERTO MORICCA, 5;Mun. XIII;Guest House o Affittacamere;0;3;2;0;0;0;5;16;0;0
MARCANTONIO;Categoria 2;VIA CASTELFIDARDO, 78;Mun. I;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
GANDINI SUITE;Categoria 2;PIAZZA MANFREDO FANTI, 5;Mun. I;Guest House o Affittacamere;1;3;0;0;0;0;4;7;0;0
GENTILE HOUSE;Categoria 3;VIA ENRICO CIALDINI, 14;Mun. I;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
CROSSING CONDOTTI;Categoria 3;VIA MARIO DE FIORI, 28;Mun. I;Guest House o Affittacamere;0;5;0;0;0;0;5;10;0;0
FELLINI INN;Categoria 2;VIA RASELLA, 55;Mun. I;Guest House o Affittacamere;2;4;0;0;0;0;6;10;0;0
NAVONA GUEST HOUSE;Categoria 3;VIA SORA, 20;Mun. I;Guest House o Affittacamere;0;0;3;0;0;0;3;9;0;0
CASSIODORO 19;Categoria 2;VIA CASSIODORO, 19;Mun. I;Guest House o Affittacamere;0;6;0;0;0;0;6;12;0;0
LH ROYAL SUITES;Categoria 2;LARGO ARENULA, 26;Mun. I;Guest House o Affittacamere;0;1;3;;1;1;6;22;0;0
STARDUST BOUTIQUE HOUSE;Categoria 3;VIA RODOLFO VALENTINO, 29;Mun. III;Guest House o Affittacamere;0;4;0;0;0;0;4;8;0;0
PIAZZA DI SPAGNA PRESTIGE PETIT;Categoria 2;VIA BOCCA DI LEONE, 36;Mun. I;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
ROMA ART ROOMS;Categoria 3;VIA MARGHERA, 10;Mun. I;Guest House o Affittacamere;0;4;0;1;0;0;5;12;0;0
AGER VATICANUS;Categoria 2;PIAZZA S. MARIA DELLE GRAZIE, 3;Mun. I;Guest House o Affittacamere;0;3;0;0;0;0;3;6;0;0
NAVONA RESIDENZA;Categoria 3;VIA DEI SEDIARI, 8;Mun. I;Guest House o Affittacamere;0;5;0;0;0;0;5;10;0;0
MY SECRET PLACE - SPAGNA;Categoria 2;VIA DI S. SEBASTIANELLO, 10;Mun. I;Guest House o Affittacamere;1;4;1;0;0;0;6;12;0;0
BDB LUXURY ROOMS NAVONA CELIO;Categoria 2;VIA DELLA VETRINA, 5;Mun. I;Guest House o Affittacamere;2;0;0;0;0;0;2;2;0;0
LATERANI SUITE 2;Categoria 3;VIA FRANCESCO BERNI, 9;Mun. I;Guest House o Affittacamere;0;2;0;0;0;0;2;4;0;0
IN ROMA LIFE;Categoria 3;VIA PALLANTE, 27;Mun. VII;Guest House o Affittacamere;0;3;1;0;0;0;4;9;0;0
LE PETIT DEPENDANCE;3 Stelle;VIA TORINO, 122;Mun. I;Dipendenza alberghiera;5;4;1;0;0;0;10;16;0;0
APPIA PARK HOTEL DIPENDENZA;4 Stelle;VIA APPIA NUOVA, 936;Mun. VII;Dipendenza alberghiera;12;1;0;0;0;0;13;14;0;0
DEPENDANCE HOTEL ITALIA;2 Stelle;VIA VENEZIA, 25;Mun. I;Dipendenza alberghiera;1;5;2;0;0;0;8;17;0;0
DEPANDANCE HOTEL PING PONG 2;1 Stella;VIA DEI FABBRI NAVALI, 6;Mun. X;Dipendenza alberghiera;3;3;1;0;0;0;7;12;0;0
CRISTINA DEPENDANCE;1 Stella;VIA PALESTRO, 87;Mun. I;Dipendenza alberghiera;3;3;0;0;0;0;6;9;0;0
BABUINO 35 DIPENDENZA BABUINO181;2 Stelle;VIA DEL BABUINO, 35;Mun. I;Dipendenza alberghiera;0;6;3;1;0;0;10;25;0;0
DIPENDENZA 1 ROME TIMES HOTEL;4 Stelle;VIA MILANO, 58;Mun. I;Dipendenza alberghiera;0;7;2;0;0;0;9;20;0;0
