INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;TOTALE_CAMERE;POSTI_LETTO;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
Trastevere Charme Apartment;Categoria 2;VIA CESARE PASCARELLA, 25;Mun. XII;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
CHARLE'S HOUSE;Categoria 2;VIA DI CASAL DEL MARMO, 288;Mun. XIV;Casa Vacanze NON impr (Appartamento);1;2;;;;;3;5;0;0
"CASA E APPARTAMENTO PER VACANZE"" IN VACANZA DA SARA""";Categoria 1;CIRCONVALLAZIONE NOMENTANA, 478;Mun. II;Casa Vacanze NON impr (Appartamento);;1;1;;;;2;5;0;0
AMAZING SUITE P.ZZA VENEZIA;Categoria 2;VIA DEL CORSO, 287;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;2
CASA DI SOFY';Categoria 1;VIA DELLA CAVA AURELIA, 175;Mun. XIII;Casa Vacanze NON impr (Appartamento);2;1;;;;;3;4;0;0
F&M HOUSE;Categoria 1;PIAZZA DELLA PIGNA, 53;Mun. I;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
IMIRI TRASTEVERE;Categoria 1;VIA GIUSEPPE PARINI, 12;Mun. XII;Casa Vacanze NON impr (Appartamento);1;;;;;;1;1;0;0
CASA E APPARTAMENTO PER VACANZE NAZIONALE;Categoria 2;VIA NAZIONALE, 230;Mun. I;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;2
PENTHOUSE PORTA PORTESE;Categoria 2;VIA PORTUENSE, 111;Mun. XII;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
GIARDINI URBANI;Categoria 1;PIAZZA ANTONIO MANCINI, 4;Mun. II;Casa Vacanze NON impr (Appartamento);;1;;;;;1;2;0;0
MAISON LATINA;Categoria 1;VIA LUCA ANTONIO CRACAS, 2;Mun. VII;Casa Vacanze NON impr (Appartamento);;;;;;;0;0;1;1
ENJOY PONTE LUNGO;Categoria 2;VIA MONSELICE, 7;Mun. VII;Casa Vacanze NON impr (Appartamento);1;1;;;;;2;3;0;0
GROTTA PINTA - CASA EA APPARTAMENTO PER VACANZE - INT. 11;Categoria 2;VIA DI GROTTA PINTA, 10;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CASA E APPARTAMENTO PER VACANZE NATURALMENTE ROMA;Categoria 2;VIA GIULIO VENTICINQUE, 38;Mun. I;Casa Vacanze NON impr (Appartamento);1;;2;;;;3;7;0;0
LA PERLA A SAN PIETRO;Categoria 2;VIA DOMENICO SILVERI, 30;Mun. XIII;Casa Vacanze NON impr (Appartamento);;1;1;;;;2;5;0;0
FLAMINIO;Categoria 2;VIA GIUSEPPE SACCONI, 19;Mun. II;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
CONFORT HOUSE PLUS;Categoria 1;VIA MAR ROSSO, 219;Mun. X;Casa Vacanze NON impr (Appartamento);1;;1;;;;2;4;0;0
"CASA E APPARTAMENTO PER VACANZE ""INTERNO 8""";Categoria 2;VIA NEMORENSE, 188;Mun. II;Casa Vacanze NON impr (Appartamento);;3;;;;;3;6;0;0
ARCOBALENO PRATI;Categoria 2;VIALE DELLE MILIZIE, 108;Mun. I;Casa Vacanze NON impr (Appartamento);;2;;;;;2;4;0;0
