Municipio;Codice scuola;Tipo scuola;Natura giuridica;Tipologia;Nome scuola;Indirizzo;Telefono;Orario entrata/uscita;Corsi attivi;Totale capienza;Totale iscritti;Iscritti maschi;Iscritti femmine;Piccoli;Medi;Grandi;Iscritti > 48 mesi;Iscritti <= 48 mesi;Iscritti italiani;Iscritti non italiani
5;5795;NIDO;PRIVATO;Convenzione;HAPPY HYPPO;VIA CASILINA 931;339/2345042;08:00 / 16:30;3;21;21;13;8;9;9;3;0;21;17;4
5;3323;NIDO;COMUNALE;;I BIMBI DELL'ARCOBALENO;VIA GAETANO SALVEMINI 60;06/2419316;07:30 / 17:00;3;69;61;32;29;16;26;19;0;61;45;16
5;3369;NIDO;COMUNALE;;I GIOCOSI ANATROCCOLI;VIA PRENESTINA VECCHIA 490;06/95950714;07:30 / 17:00;3;69;68;38;30;14;27;27;0;68;55;13
5;3324;NIDO;COMUNALE;;IL BOSCO INCANTATO;VIA GENTILE DA MOGLIANO 109;06/270794;08:00 / 16:30;3;46;44;24;20;12;17;15;0;44;42;2
5;3372;NIDO;COMUNALE;;IL GIARDINO DI ROSATI;VIA LORENZO DELLEANI 21;06/95950716;07:30 / 17:00;3;69;68;37;31;15;26;27;0;68;57;11
5;3367;NIDO;COMUNALE;;IL MELOGRANO;VIA DELIA 52;06/95950712;08:00 / 16:30;3;69;67;41;26;15;25;27;0;67;59;8
5;3371;NIDO;COMUNALE;;IL PETTIROSSO;VIALE GIOVANNI BATTISTA VALENTE 142;06/95950715;08:00 / 16:30;3;69;67;32;35;14;26;27;0;67;59;8
5;3329;NIDO;COMUNALE;;IL PICCOLO GIARDINO DEI  COLORI;VIA MONTONA 1;06/2154427;07:30 / 17:00;3;69;68;39;29;14;29;25;0;68;62;6
5;3365;NIDO;COMUNALE;;IL SOLE E LA LUNA;VIA DEL CAMPO 48;06/95950710;07:00 / 18:00;3;69;66;36;30;15;25;26;0;66;47;19
5;3328;NIDO;COMUNALE;;IL SOLE NIDO;VIA DI CENTOCELLE 236;06/2428209;08:00 / 16:30;3;60;58;34;24;15;22;21;0;58;54;4
5;3321;NIDO;COMUNALE;;LA CASA DELLO SCARABOCCHIO;VIA ANAGNI 26;06/21803574;07:30 / 17:00;3;69;68;36;32;14;27;27;0;68;60;8
5;3330;NIDO;COMUNALE;;LA COMETA;VIALE TELESE 64;06/21729287;08:00 / 16:30;3;69;68;42;26;14;28;26;0;68;57;11
5;5707;NIDO;PRIVATO;Convenzione;LA FRECCIA AZZURRA;VIA DI VILLA LAURICELLA 22;06/96038315;08:00 / 16:30;3;28;28;14;14;0;15;13;0;28;26;2
5;5692;NIDO;PRIVATO;Convenzione;LA LOCOMOTIVA;VIA COLLATINA 285;06/2253719;08:00 / 16:30;2;22;22;13;9;0;11;11;0;22;22;0
5;3326;NIDO;COMUNALE;;LA MAGNOLIA;PIAZZA DEI CONDOTTIERI 34;06/295179;08:00 / 16:30;3;87;81;45;36;16;26;39;0;81;67;14
5;5716;NIDO;COMUNALE;;LA PICCOLA IMPRONTA;VIA POLICASTRO 45;06/24407366;08:00 / 16:30;3;86;84;41;43;26;36;22;0;84;75;9
5;3368;NIDO;COMUNALE;;L'ALBERO AZZURRO;VIA DEI LARICI ;06/95950713;07:30 / 17:00;3;95;92;41;51;12;42;38;0;92;81;11
5;3763;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;L'ALTALUNA;VIA DELLE PALME 197;06/2590970;08:00 / 13:00;2;19;16;8;8;0;10;6;0;16;16;0
5;5776;NIDO;PRIVATO;Convenzione;L'ALTRALUNA;VIA DELLE SUSINE 76;06/98180984;08:00 / 16:30;3;51;51;32;19;14;19;18;0;51;47;4
5;5835;NIDO;COMUNALE;;L'APE BIRICHINA;VIA GIORGIO PERLASCA 59;06/95950720;08:00 / 16:30;3;69;67;29;38;13;26;28;0;67;64;3
5;5693;NIDO;SPAZIO BE.BI PRIVATO;Convenzione;L'INCANTALUNA;VIA DEL GRANO 58;06/23219996;08:00 / 13:00;2;19;12;6;6;0;4;8;0;12;9;3
5;3364;NIDO;COMUNALE;;L'ISOLA CHE NON C'E';VIA DELLE RESEDE 1;06/95950709;07:30 / 17:00;3;86;85;39;46;12;38;35;0;85;60;25
5;3366;NIDO;COMUNALE;;MARAMAO;LARGO APPIO CHIEREGATTI 8;06/95950711;07:30 / 17:00;3;69;66;39;27;14;22;30;0;66;59;7
5;3764;NIDO;PRIVATO;Convenzione;OLTRE IL GIARDINO;VIA MOLFETTA 30;06/2184198;08:00 / 16:30;2;56;55;31;24;0;28;27;0;55;53;2
5;5787;NIDO;PRIVATO;Convenzione;PICCOLE PESTI CRESCONO;VIA DELLE NESPOLE 68;06/23232677;08:00 / 16:30;3;24;24;12;12;9;10;5;0;24;22;2
5;3327;NIDO;COMUNALE;;RICCIOLI D'ORO;VIA ISIDORO DI CARACE 50;06/21704589;08:00 / 16:30;3;46;44;17;27;11;16;17;0;44;39;5
5;3322;NIDO;COMUNALE;;ZIGO ZAGO;VIA CASILINA 711;06/2427508;08:00 / 16:30;3;60;57;35;22;12;26;19;0;57;41;16
6;3984;NIDO;PRIVATO;Convenzione;ALADINO;VIA MONTELPARO 22;329/7143250;08:00 / 16:30;2;20;20;11;9;0;7;13;0;20;15;5
6;5793;NIDO;PRIVATO;Convenzione;ARCHIMEDE;VIA DELLA POIANA 35;06/60659611;08:00 / 16:30;2;29;29;19;10;0;14;15;0;29;24;5
6;3217;NIDO;COMUNALE;;ARCOBALENO;VIA BATTISTA PANZERA 23;06/20630050;07:30 / 17:00;3;69;69;31;38;11;30;28;0;69;49;20
6;3214;NIDO;COMUNALE;;BABY BRICIOLA;VIA PIETRO BELON 94;06/262772;08:00 / 16:30;3;46;46;26;20;9;21;16;0;46;36;10
6;3216;NIDO;COMUNALE;;BAMBI;VIA LUIGI ROSSINI 1;06/20419140;07:30 / 17:00;3;69;69;31;38;16;26;27;0;69;59;10
6;5814;NIDO;PRIVATO;Convenzione;CAMOMILLA;VIA ROCCA DI CAMBIO 16;06/22460408;08:00 / 16:30;3;69;69;32;37;20;26;23;0;69;67;2
6;5546;NIDO;PRIVATO;Convenzione;CAMPO DI TULIPANI;VIA DELL' OSTERIA DEL FINOCCHIO 35;06/2070975;08:00 / 16:30;3;40;40;20;20;6;17;17;0;40;30;10
6;6429;NIDO;PRIVATO;Concessione;CASTELVERDE;LARGO ROTELLO ;06/89522364;08:00 / 16:30;3;72;72;47;25;16;28;28;0;72;62;10
6;3741;NIDO;COMUNALE;;CENTO COLORI;VIA AGOSTINO MITELLI ;06/2008800;08:00 / 16:30;3;69;69;44;25;12;28;29;0;69;43;26
6;3220;NIDO;COMUNALE;;COLLINA VERDE;VIA CAPACI 37;06/20762655;07:30 / 17:00;3;69;69;35;34;15;27;27;0;69;50;19
6;5668;NIDO;PRIVATO;Convenzione;CRESCERE INSIEME;VIA MALVAGNA 43;06/20764101;08:00 / 16:30;3;41;41;16;25;12;14;15;0;41;33;8
6;5792;NIDO;PRIVATO;Convenzione;CRESCERE INSIEME 2;VIA DI TOR BELLA MONACA 495;06/2011411;08:00 / 16:30;3;115;115;64;51;39;46;30;0;115;57;58
6;5626;NIDO;PRIVATO;Convenzione;DINDOLO';VIA ATLANTE 210;06/2003234;08:00 / 16:30;2;29;29;19;10;0;14;15;0;29;20;9
